from_year,to_year,level,from_id,to_id,change_type,source_file
2017,2021,municipality,1420,4640,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1421,4641,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1422,4642,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1424,4643,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1426,4644,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1428,4645,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1429,4646,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1438,4648,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1445,4650,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1449,4651,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1502,1506,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1504,1507,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1519,1577,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1567,5061,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1601,5001,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1617,5056,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1620,5014,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1621,5057,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1630,5058,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1633,5020,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1634,5021,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1635,5022,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1640,5025,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1644,5026,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1648,5027,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1653,5028,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1657,5029,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1663,5031,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1664,5032,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1665,5033,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1702,5006,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1703,5007,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1711,5034,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1714,5035,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1717,5036,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1719,5037,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1721,5038,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1738,5042,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
